segment_id,date,weekday,hour,LOS,flow_proxy,max_velocity,length,calc_length,street_level,street_type,long_snode,lat_snode,long_enode,lat_enode,LOS_encoded,street_type_encoded,street_name_freq
83729,8/1/2020,5,15.5,E,0.041891892,0.285714286,0.063394683,0.063405554,4,tertiary,106.8053886,10.875074,106.8056563,10.8749777,4,20,43
83729,8/1/2020,5,14.5,F,0.020945946,0.285714286,0.063394683,0.063405554,4,tertiary,106.8053886,10.875074,106.8056563,10.8749777,5,20,43
80008,8/1/2020,5,16.5,F,0.002027027,0.285714286,0.006134969,0.006223468,4,tertiary,106.8053732,10.8750501,106.8053886,10.875074,5,20,86
6682,8/2/2020,6,23.5,F,0.022297297,0.285714286,0.067484663,0.069133143,4,tertiary,106.6554697,10.7707822,106.6551627,10.7708289,5,20,178
58853,8/2/2020,6,23.5,F,0.026351351,0.285714286,0.079754601,0.079537872,4,tertiary,106.6514369,10.7563989,106.6510842,10.756343,5,20,255
6683,8/2/2020,6,23.5,B,0.243243243,0.285714286,0.09202454,0.093603439,4,tertiary,106.6554697,10.7707822,106.6558857,10.7707233,1,20,178
58854,8/2/2020,6,23.5,C,0.158108108,0.285714286,0.079754601,0.079537872,4,tertiary,106.6510842,10.756343,106.6514369,10.7563989,2,20,255
63096,8/2/2020,6,23.5,C,0.186486486,0.714285714,0.047034765,0.047724779,2,primary,106.6673713,10.7677626,106.6675587,10.7678656,2,14,405
6684,8/2/2020,6,23.5,E,0.060810811,0.285714286,0.09202454,0.093603439,4,tertiary,106.6558857,10.7707233,106.6554697,10.7707822,4,20,178
58847,8/2/2020,6,23.5,C,0.117567568,0.285714286,0.059304703,0.06055674,4,tertiary,106.6518545,10.7564726,106.6515881,10.7564176,2,20,255
58855,8/2/2020,6,23.5,B,0.340540541,0.285714286,0.128834356,0.129132405,4,tertiary,106.6355415,10.7696068,106.6361135,10.7695156,1,20,88
6685,8/2/2020,6,23.5,D,0.097297297,0.285714286,0.073619632,0.073642002,4,tertiary,106.6558857,10.7707233,106.6562138,10.7706814,3,20,178
63104,8/2/2020,6,23.5,C,0.048648649,0.714285714,0.012269939,0.013088845,2,primary,106.6691903,10.7678778,106.6692498,10.7678754,2,14,258
29333,8/2/2020,6,23.5,C,0.024324324,0.714285714,0.006134969,0.007113708,2,primary,106.6536543,10.753689,106.6536569,10.7536569,2,14,32
79232,8/2/2020,6,23.5,C,0.016216216,0.714285714,0.00408998,0.004882622,2,primary,106.6679758,10.7680893,106.6679949,10.7681015,2,14,7
79230,8/2/2020,6,23.5,D,0.016216216,0.714285714,0.006134969,0.006183403,2,primary,106.6679222,10.7680551,106.6679462,10.7680704,3,14,41
63103,8/2/2020,6,23.5,B,0.454054054,0.714285714,0.085889571,0.086492308,2,primary,106.6688022,10.7678936,106.6691903,10.7678778,1,14,258
63097,8/2/2020,6,23.5,C,0.105405405,0.714285714,0.026584867,0.02759258,2,primary,106.6675587,10.7678656,106.6676674,10.7679253,2,14,405
58852,8/2/2020,6,23.5,C,0.02027027,0.285714286,0.010224949,0.010749932,4,tertiary,106.6514369,10.7563989,106.6514852,10.7564074,2,20,255
6681,8/2/2020,6,23.5,E,0.044594595,0.285714286,0.067484663,0.069133143,4,tertiary,106.6551627,10.7708289,106.6554697,10.7707822,4,20,178
63101,8/2/2020,6,23.5,F,0.027027027,0.714285714,0.040899796,0.041748505,2,primary,106.6681818,10.7679188,106.6683696,10.7679112,5,14,258
79231,8/2/2020,6,23.5,C,0.024324324,0.714285714,0.006134969,0.00767708,2,primary,106.6679462,10.7680704,106.6679758,10.7680893,2,14,41
29331,8/2/2020,6,23.5,B,0.032432432,0.714285714,0.006134969,0.007095265,2,primary,106.6536776,10.7537483,106.6536614,10.7537204,1,14,32
63100,8/2/2020,6,23.5,E,0.059459459,0.714285714,0.044989775,0.045677135,2,primary,106.6679812,10.7679629,106.6681818,10.7679188,4,14,258
6677,8/2/2020,6,23.5,A,0.040540541,0.285714286,0.012269939,0.012830053,4,tertiary,106.6548412,10.7708778,106.6548989,10.770869,0,20,178
6676,8/2/2020,6,23.5,E,0.052702703,0.285714286,0.079754601,0.079904117,4,tertiary,106.6548412,10.7708778,106.6544865,10.7709317,4,20,178
63099,8/2/2020,6,23.5,C,0.105405405,0.714285714,0.026584867,0.026442059,2,primary,106.6678809,10.7680265,106.6679812,10.7679629,2,14,258
58850,8/2/2020,6,23.5,E,0.014864865,0.285714286,0.022494888,0.022881597,4,tertiary,106.6514852,10.7564074,106.6515881,10.7564176,4,20,255
6674,8/2/2020,6,23.5,B,0.075675676,0.285714286,0.028629857,0.028909344,4,tertiary,106.6544865,10.7709317,106.6543576,10.7709513,1,20,178
63102,8/2/2020,6,23.5,E,0.127027027,0.714285714,0.096114519,0.096432682,2,primary,106.6683696,10.7679112,106.6688022,10.7678936,4,14,258
6678,8/2/2020,6,23.5,D,0.016216216,0.285714286,0.012269939,0.012830053,4,tertiary,106.6548989,10.770869,106.6548412,10.7708778,3,20,178
58849,8/2/2020,6,23.5,F,0.007432432,0.285714286,0.022494888,0.022881597,4,tertiary,106.6515881,10.7564176,106.6514852,10.7564074,5,20,255
6679,8/2/2020,6,23.5,D,0.078378378,0.285714286,0.059304703,0.059375514,4,tertiary,106.6548989,10.770869,106.6551627,10.7708289,3,20,178
58851,8/2/2020,6,23.5,E,0.006756757,0.285714286,0.010224949,0.010749932,4,tertiary,106.6514852,10.7564074,106.6514369,10.7563989,4,20,255
58848,8/2/2020,6,23.5,E,0.039189189,0.285714286,0.059304703,0.06055674,4,tertiary,106.6515881,10.7564176,106.6518545,10.7564726,4,20,255
6680,8/2/2020,6,23.5,D,0.078378378,0.285714286,0.059304703,0.059375514,4,tertiary,106.6551627,10.7708289,106.6548989,10.770869,3,20,178
6675,8/2/2020,6,23.5,F,0.026351351,0.285714286,0.079754601,0.079904117,4,tertiary,106.6544865,10.7709317,106.6548412,10.7708778,5,20,178
29332,8/2/2020,6,23.5,E,0.008108108,0.714285714,0.006134969,0.00710552,2,primary,106.6536614,10.7537204,106.6536543,10.753689,4,14,32
63098,8/2/2020,6,23.5,E,0.067567568,0.714285714,0.051124744,0.052705726,2,primary,106.6676674,10.7679253,106.6678809,10.7680265,4,14,405
12509,8/2/2020,6,23.5,E,0.039189189,0.285714286,0.059304703,0.059197223,4,tertiary,106.6683653,10.7740549,106.6682193,10.7742735,4,20,213
6686,8/2/2020,6,23.5,D,0.097297297,0.285714286,0.073619632,0.073642002,4,tertiary,106.6562138,10.7706814,106.6558857,10.7707233,3,20,178
29334,8/2/2020,6,23.5,C,0.016216216,0.714285714,0.00408998,0.005701676,2,primary,106.6536569,10.7536569,106.653666,10.7536325,2,14,32
6696,8/2/2020,6,23.5,A,0.168918919,0.285714286,0.051124744,0.051879165,4,tertiary,106.6571756,10.7705227,106.656945,10.7705578,0,20,178
63085,8/2/2020,6,23.5,C,0.044594595,0.285714286,0.022494888,0.022546065,4,tertiary,106.671103,10.769524,106.6710798,10.7696215,2,20,179
6697,8/2/2020,6,23.5,F,0.008783784,0.285714286,0.026584867,0.026636585,4,tertiary,106.6571756,10.7705227,106.6572944,10.7705044,5,20,178
29365,8/2/2020,6,23.5,E,0.033783784,0.285714286,0.051124744,0.05242951,4,tertiary,106.6533569,10.7599434,106.6533333,10.7601739,4,20,98
63084,8/2/2020,6,23.5,E,0.028378378,0.285714286,0.042944785,0.04469371,4,tertiary,106.671103,10.769524,106.6711489,10.7693316,4,20,179
29366,8/2/2020,6,23.5,C,0.032432432,0.285714286,0.016359918,0.017425358,4,tertiary,106.6533569,10.7599434,106.6533648,10.7598662,2,20,98
63083,8/2/2020,6,23.5,C,0.085135135,0.285714286,0.042944785,0.04469371,4,tertiary,106.6711489,10.7693316,106.671103,10.769524,2,20,179
63082,8/2/2020,6,23.5,E,0.027027027,0.285714286,0.040899796,0.042667446,4,tertiary,106.6711489,10.7693316,106.6711928,10.7691479,4,20,179
6698,8/2/2020,6,23.5,C,0.052702703,0.285714286,0.026584867,0.026636585,4,tertiary,106.6572944,10.7705044,106.6571756,10.7705227,2,20,178
29367,8/2/2020,6,23.5,C,0.032432432,0.285714286,0.016359918,0.017425358,4,tertiary,106.6533648,10.7598662,106.6533569,10.7599434,2,20,98
6699,8/2/2020,6,23.5,F,0.022972973,0.285714286,0.069529652,0.071293591,4,tertiary,106.6572944,10.7705044,106.6576126,10.7704681,5,20,178
6700,8/2/2020,6,23.5,E,0.045945946,0.285714286,0.069529652,0.071293591,4,tertiary,106.6576126,10.7704681,106.6572944,10.7705044,4,20,178
29368,8/2/2020,6,23.5,B,0.145945946,0.285714286,0.055214724,0.055580272,4,tertiary,106.6533648,10.7598662,106.6533898,10.7596219,1,20,98
6701,8/2/2020,6,23.5,C,0.218918919,0.285714286,0.110429448,0.110845207,4,tertiary,106.6576126,10.7704681,106.6581017,10.7703784,2,20,178
79236,8/2/2020,6,23.5,D,0.054054054,0.428571429,0.030674847,0.030464385,3,primary_link,106.6147625,10.7380483,106.6147828,10.7379148,3,15,5
29369,8/2/2020,6,23.5,B,0.145945946,0.285714286,0.055214724,0.055580272,4,tertiary,106.6533898,10.7596219,106.6533648,10.7598662,1,20,98
63081,8/2/2020,6,23.5,E,0.027027027,0.285714286,0.040899796,0.042667446,4,tertiary,106.6711928,10.7691479,106.6711489,10.7693316,4,20,179
29371,8/2/2020,6,23.5,E,0.013513514,0.285714286,0.020449898,0.020234813,4,tertiary,106.653399,10.7595324,106.6533898,10.7596219,4,20,98
63076,8/2/2020,6,23.5,B,0.167567568,0.285714286,0.063394683,0.064297912,4,tertiary,106.6713072,10.7686682,106.6713732,10.7683918,1,20,179
63077,8/2/2020,6,23.5,F,0.029054054,0.285714286,0.08793456,0.08951814,4,tertiary,106.6713072,10.7686682,106.6712155,10.7690527,5,20,179
58894,8/2/2020,6,23.5,F,0.007432432,0.285714286,0.022494888,0.023270883,4,tertiary,106.640708,10.7674045,106.6406184,10.7674586,5,20,88
63078,8/2/2020,6,23.5,C,0.174324324,0.285714286,0.08793456,0.08951814,4,tertiary,106.6712155,10.7690527,106.6713072,10.7686682,2,20,179
63079,8/2/2020,6,23.5,E,0.013513514,0.285714286,0.020449898,0.022011847,4,tertiary,106.6712155,10.7690527,106.6711928,10.7691479,4,20,179
29347,8/2/2020,6,23.5,D,0.102702703,0.714285714,0.038854806,0.040636112,2,primary,106.6691251,10.7484337,106.6690982,10.7482559,3,14,18
58893,8/2/2020,6,23.5,E,0.014864865,0.285714286,0.022494888,0.023270883,4,tertiary,106.6406184,10.7674586,106.640708,10.7674045,4,20,88
58892,8/2/2020,6,23.5,F,0.002702703,0.285714286,0.008179959,0.008789583,4,tertiary,106.6406184,10.7674586,106.640584,10.7674792,5,20,88
29370,8/2/2020,6,23.5,A,0.067567568,0.285714286,0.020449898,0.020234813,4,tertiary,106.6533898,10.7596219,106.653399,10.7595324,0,20,98
58891,8/2/2020,6,23.5,E,0.005405405,0.285714286,0.008179959,0.008789583,4,tertiary,106.640584,10.7674792,106.6406184,10.7674586,4,20,88
6703,8/2/2020,6,23.5,F,0.330405405,0.285714286,1,1,4,tertiary,106.5386925,10.7202232,106.542567,10.718012,5,20,24
6702,8/2/2020,6,23.5,A,0.364864865,0.285714286,0.110429448,0.110845207,4,tertiary,106.6581017,10.7703784,106.6576126,10.7704681,0,20,178
58890,8/2/2020,6,23.5,D,0.075675676,0.285714286,0.057259714,0.057055486,4,tertiary,106.640584,10.7674792,106.6403649,10.7676103,3,20,88
63080,8/2/2020,6,23.5,C,0.040540541,0.285714286,0.020449898,0.022011847,4,tertiary,106.6711928,10.7691479,106.6712155,10.7690527,2,20,179
63095,8/2/2020,6,23.5,D,0.124324324,0.714285714,0.047034765,0.048506092,2,primary,106.6671808,10.767658,106.6673713,10.7677626,3,14,405
63086,8/2/2020,6,23.5,D,0.02972973,0.285714286,0.022494888,0.022546065,4,tertiary,106.6710798,10.7696215,106.671103,10.769524,3,20,179
29346,8/2/2020,6,23.5,F,0.002702703,0.714285714,0.00408998,0.005625679,2,primary,106.6538722,10.7536995,106.6538648,10.7537241,5,14,98
63094,8/2/2020,6,23.5,C,0.105405405,0.714285714,0.026584867,0.027762693,2,primary,106.6670725,10.7675961,106.6671808,10.767658,2,14,405
63093,8/2/2020,6,23.5,E,0.118918919,0.714285714,0.08997955,0.089721694,2,primary,106.668223,10.7683963,106.6678666,10.7682117,4,14,405
58846,8/2/2020,6,23.5,F,0.031081081,0.285714286,0.09406953,0.095465077,4,tertiary,106.6518545,10.7564726,106.652277,10.7565435,5,20,255
29335,8/2/2020,6,23.5,F,0.002702703,0.714285714,0.00408998,0.005713412,2,primary,106.653666,10.7536325,106.6536808,10.7536109,5,14,32
6687,8/2/2020,6,23.5,F,0.009459459,0.285714286,0.028629857,0.029855743,4,tertiary,106.6562138,10.7706814,106.6563444,10.7706491,5,20,178
29336,8/2/2020,6,23.5,E,0.005405405,0.714285714,0.00408998,0.005709316,2,primary,106.6536808,10.7536109,106.6537004,10.7535934,4,14,32
29337,8/2/2020,6,23.5,E,0.005405405,0.714285714,0.00408998,0.003935748,2,primary,106.6537004,10.7535934,106.6537164,10.7535842,4,14,32
79233,8/2/2020,6,23.5,F,0.004054054,0.714285714,0.006134969,0.007180385,2,primary,106.6678666,10.7682117,106.6678386,10.7681944,5,14,41
29338,8/2/2020,6,23.5,E,0.005405405,0.714285714,0.00408998,0.00393196,2,primary,106.6537164,10.7535842,106.6537337,10.7535777,4,14,36
63092,8/2/2020,6,23.5,D,0.356756757,0.714285714,0.134969325,0.134876814,2,primary,106.6665348,10.7673232,106.6670725,10.7675961,3,14,405
63091,8/2/2020,6,23.5,C,0.948648649,0.714285714,0.239263804,0.240324288,2,primary,106.6656006,10.7667954,106.6665348,10.7673232,2,14,405
29339,8/2/2020,6,23.5,C,0.016216216,0.714285714,0.00408998,0.003937186,2,primary,106.6537337,10.7535777,106.6537519,10.7535742,2,14,36
63090,8/2/2020,6,23.5,E,0.013513514,0.285714286,0.020449898,0.021009777,4,tertiary,106.6714997,10.7678617,106.6715214,10.7677708,4,20,12
6688,8/2/2020,6,23.5,F,0.009459459,0.285714286,0.028629857,0.029855743,4,tertiary,106.6563444,10.7706491,106.6562138,10.7706814,5,20,178
6689,8/2/2020,6,23.5,D,0.062162162,0.285714286,0.047034765,0.046974807,4,tertiary,106.6563444,10.7706491,106.6565533,10.7706174,3,20,178
29340,8/2/2020,6,23.5,C,0.024324324,0.714285714,0.006134969,0.006967769,2,primary,106.6537519,10.7535742,106.653784,10.7535754,2,14,36
